Initial Size,Experiment Size(N),Experiment Height(h),Sqrt(N)
298,290.4,16.1,17.041126723312633
299,301.6,15.8,17.36663467687393
300,293.4,16.3,17.128922908344236
301,300.4,16.6,17.332051234634633
302,308.4,16.6,17.561321134812154
303,298.2,16.1,17.268468374467957
304,305.0,16.6,17.46424919657298
305,314.6,16.6,17.73696704625681
306,311.2,17.4,17.640861656959956
307,304.4,16.3,17.44706279005151
308,314.0,16.7,17.72004514666935
309,311.8,16.7,17.6578594399208
310,314.2,16.8,17.725687574816384
311,316.0,17.1,17.776388834631177
312,312.2,16.2,17.66918221084383
313,305.8,16.0,17.487138130637614
314,310.8,17.0,17.62952069683121
315,313.4,16.5,17.703107071923842
316,315.2,16.7,17.75387281693772
317,312.4,16.2,17.67484087622856
318,320.4,16.2,17.899720668211557
319,313.2,16.8,17.69745744450315
320,319.4,16.5,17.871765441612084
321,322.8,17.1,17.966635745180564
322,319.4,16.7,17.871765441612084
323,319.0,17.2,17.86057109949175
324,316.4,16.6,17.787636155487327
325,323.0,16.6,17.97220075561143
326,315.6,16.2,17.765134392961965
327,327.2,16.4,18.088670487352022
328,321.2,16.6,17.92205345377588
329,330.2,16.3,18.171406109599772
330,330.2,16.7,18.171406109599772
331,336.8,16.6,18.35211159512714
332,333.4,17.1,18.259244234085923
333,328.6,17.2,18.127327436773463
334,317.8,15.5,17.826945896591486
335,334.6,16.9,18.29207478663916
336,327.2,17.2,18.088670487352022
337,338.6,17.0,18.40108692441835
338,337.2,17.2,18.36300628982085
339,338.6,17.4,18.40108692441835
340,329.6,16.4,18.15488914865635
341,339.2,17.2,18.41738309315414
342,338.6,16.3,18.40108692441835
343,344.4,17.2,18.558017135459274
344,341.6,17.1,18.482424083436676
345,338.0,17.1,18.384776310850235
346,340.4,16.5,18.4499322491981
347,352.6,17.3,18.777646284878198
348,342.4,16.7,18.504053609952603
349,348.6,17.5,18.670832868407345
350,351.6,17.5,18.750999973334757
351,356.8,16.8,18.88915032498815
352,361.4,17.4,19.01052340152685
353,353.2,17.1,18.793615937333612
354,355.2,17.4,18.846750383023593
355,356.4,17.2,18.878559267062727
356,356.0,17.0,18.867962264113206
357,353.6,17.3,18.804254837669053
358,358.8,16.4,18.94201678808252
359,363.2,18.1,19.05780679931455
360,368.2,17.5,19.188538245525635
361,363.0,17.0,19.05255888325765
362,361.6,17.5,19.01578291840754
363,357.8,17.2,18.915602025840997
364,367.4,17.8,19.16768113257313
365,362.6,17.6,19.042058712229622
366,352.4,15.8,18.772320048411704
367,370.0,16.7,19.235384061671343
368,368.2,18.0,19.188538245525635
369,366.4,18.0,19.14157778240864
370,370.2,17.5,19.24058211177614
371,368.4,17.6,19.193748982416125
372,372.6,18.2,19.302849530574495
373,366.0,17.0,19.131126469708992
374,375.2,17.2,19.3700800204852
375,369.0,17.1,19.209372712298546
376,372.6,17.6,19.302849530574495
377,368.2,17.9,19.188538245525635
378,371.8,17.3,19.282116066448722
379,377.4,17.6,19.426785632214095
380,381.2,17.3,19.524343778985248
381,378.8,17.6,19.462785001124583
382,385.2,16.6,19.62651268055535
383,383.8,17.2,19.590814173994914
384,389.4,17.7,19.733220720399395
385,388.0,18.1,19.697715603592208
386,384.0,17.6,19.595917942265423
387,386.0,17.0,19.6468827043885
388,388.0,17.5,19.697715603592208
389,392.6,17.8,19.81413636775522
390,387.8,17.9,19.692638218379983
391,389.0,17.5,19.72308292331602
392,389.2,17.8,19.72815247305231
393,386.8,17.6,19.667231630303235
394,391.4,17.4,19.78383178254405
395,398.8,17.3,19.969977466186585
396,385.8,18.4,19.64179217892298
397,398.4,17.6,19.959959919799438
398,399.6,18.2,19.98999749874922
399,396.8,18.2,19.91983935678197
400,401.6,17.7,20.039960079800558
401,392.6,17.7,19.81413636775522
402,402.0,18.0,20.049937655763422
403,398.4,18.8,19.959959919799438
404,403.2,18.2,20.079840636817814
405,402.0,18.9,20.049937655763422
406,410.8,18.1,20.268201696253172
407,407.8,18.1,20.19405853215247
408,401.0,18.3,20.024984394500787
409,404.4,18.6,20.109699152399074
410,404.6,18.8,20.114671262538696
411,415.2,17.8,20.376457003120045
412,414.6,18.1,20.361728806759018
413,405.0,18.2,20.12461179749811
414,421.8,17.8,20.537770083434083
415,407.2,18.0,20.1791972090071
416,424.2,18.9,20.59611613872868
417,416.6,18.2,20.410781464706343
418,424.0,18.5,20.591260281974
419,420.2,18.1,20.498780451529306
420,407.6,18.4,20.189105973271822
421,419.4,18.4,20.479257799051215
422,418.6,18.0,20.459716518075222
423,425.4,18.0,20.625227271475094
424,424.8,17.9,20.610676844781203
425,429.4,18.9,20.721969018411354
426,441.2,18.6,21.004761364985796
427,430.6,18.1,20.75090359478353
428,429.4,17.4,20.721969018411354
429,429.2,17.4,20.717142660125695
430,434.8,18.4,20.851858430365386
431,427.6,18.6,20.67849124090053
432,429.8,18.4,20.731618364228105
433,425.4,18.7,20.625227271475094
434,440.2,17.8,20.98094373473224
435,430.0,17.5,20.73644135332772
436,435.2,18.2,20.861447696648476
437,433.8,18.0,20.827865949251738
438,438.8,18.3,20.94755355644186
439,446.4,18.4,21.12818023399081
440,447.0,18.5,21.142374511865974
441,446.4,18.3,21.12818023399081
442,441.6,19.1,21.014280858501916
443,439.2,19.0,20.957099035887577
444,446.4,18.6,21.12818023399081
445,445.8,18.2,21.113976413740733
446,430.6,18.7,20.75090359478353
447,447.0,17.8,21.142374511865974
448,447.4,18.7,21.151832071950647
449,450.4,18.0,21.222629431811693
450,446.2,18.5,21.123446688454987
451,451.0,18.9,21.236760581595302
452,449.4,18.4,21.19905658278217
453,453.4,18.7,21.29319140006965
454,450.6,18.5,21.227340860315028
455,455.8,18.8,21.349473061413015
456,457.6,18.6,21.3915871313935
457,459.0,18.9,21.42428528562855
458,458.6,19.0,21.41494805036893
459,462.0,18.1,21.494185260204677
460,460.6,20.2,21.461593603458248
461,459.2,19.3,21.428952377566198
462,468.2,19.8,21.63792966066763
463,461.4,18.3,21.48022346252478
464,452.8,19.2,21.279097725232617
465,459.2,19.1,21.428952377566198
466,467.2,19.4,21.614809737770074
467,465.2,19.0,21.568495543268657
468,464.4,19.5,21.549941995281564
469,465.8,18.1,21.582400237230335
470,466.2,19.1,21.5916650585359
471,476.4,19.4,21.82658928921328
472,469.0,19.0,21.656407827707714
473,473.0,18.8,21.748563170931547
474,466.6,18.1,21.60092590608097
475,478.4,18.6,21.872356983187704
476,478.6,18.8,21.876928486421487
477,471.0,18.6,21.702534414210707
478,478.0,18.9,21.863211109075447
479,476.6,18.7,21.831170376322017
480,481.8,18.3,21.949943052317927
481,480.8,18.7,21.927152117865194
482,475.2,19.4,21.79908254950194
483,475.2,18.9,21.79908254950194
484,484.4,19.6,22.009089031579656
485,484.0,18.9,22.0
486,490.2,20.0,22.140460699813815
487,479.2,19.1,21.890637268019404
488,485.0,18.7,22.02271554554524
489,484.6,18.7,22.013632140108093
490,485.2,19.8,22.027255843613386
491,491.6,18.0,22.172054483064937
492,480.6,18.8,21.922591087734133
493,492.8,19.3,22.199099080818574
494,497.0,18.5,22.293496809607955
495,489.6,18.5,22.126906697502932
496,494.2,18.9,22.230609528305784
497,504.2,19.6,22.454398232862978
498,500.2,20.4,22.36515146382872
499,503.4,18.9,22.436577279077127
500,501.8,19.0,22.400892839349062
501,510.2,19.4,22.58760722166029
502,506.6,19.1,22.507776433935007
503,505.4,19.4,22.48110317577854
504,504.6,19.3,22.463303408003018
505,504.2,19.3,22.454398232862978
506,504.8,19.2,22.46775467197379
507,512.0,19.3,22.627416997969522
508,515.6,20.0,22.706827167175955
509,508.0,19.6,22.538855339169288
510,516.0,19.2,22.715633383201094
511,520.2,19.6,22.807893370497855
512,507.8,19.5,22.53441811984503
513,515.2,19.9,22.698017534577772
514,522.4,19.4,22.856071403458643
515,517.8,19.1,22.755219181541626
516,517.8,20.2,22.755219181541626
517,507.8,18.9,22.53441811984503
518,501.6,19.0,22.39642828667107
519,524.8,19.3,22.908513701242164
520,520.0,19.7,22.80350850198276
521,523.8,19.3,22.88667734731278
522,534.8,19.8,23.125743231299616
523,522.2,19.6,22.851695779525862
524,509.6,19.8,22.57432169523594
