Size(N),Experiment Height(h),Log of Size,Sqrt of Size
454,18.9,6.108803039525215,21.208488866489287
455,18.8,6.111467339502679,21.236760581595302
456,18.7,6.1110237821656215,21.23205124334434
457,18.5,6.118537629671458,21.31196846844514
458,18.9,6.125558281588681,21.386911885543455
459,18.1,6.134265345739653,21.48022346252478
460,19.1,6.13599769784028,21.498837177856853
461,19.3,6.138590611998276,21.526727572949866
462,19.1,6.152732694704104,21.6794833886788
463,18.6,6.115450526888973,21.279097725232617
464,18.3,6.1501762382628025,21.651789764358973
465,18.9,6.138158926258786,21.52208168370337
466,19.0,6.148468295917647,21.633307652783937
467,19.1,6.139884552226255,21.540659228538015
468,18.8,6.129050210060545,21.42428528562855
469,19.1,6.169610732491456,21.863211109075447
470,18.8,6.141607205537701,21.559220765138985
471,19.5,6.153583396584417,21.688706738761535
472,18.1,6.170447202636422,21.872356983187704
473,18.9,6.158672466091889,21.743964679883014
474,19.2,6.175867270105761,21.93171219946131
475,18.8,6.155282632337377,21.707141681944215
476,20.0,6.150602768446279,21.656407827707714
477,18.3,6.16835471390473,21.849485119791723
478,18.2,6.174202683787152,21.913466179497938
479,19.0,6.182084906716632,22.0
480,19.3,6.184148890937483,22.02271554554524
481,19.1,6.16835471390473,21.849485119791723
482,19.8,6.184973293292501,22.031795206019865
483,19.1,6.1796024892233765,21.97271034715563
484,18.8,6.173369350405594,21.90433747000808
485,19.6,6.173369350405594,21.90433747000808
486,19.0,6.182911011678937,22.009089031579656
487,19.6,6.195221384622002,22.144976857066254
488,19.2,6.177113893994611,21.945386758952324
489,19.3,6.217005223021913,22.387496510329154
490,19.5,6.199697485686437,22.19459393636207
491,18.9,6.185797016568072,22.040871126160145
492,18.2,6.19154415882364,22.104298224553524
493,18.8,6.209394531369305,22.30246623133863
494,18.9,6.204153640518333,22.244100341438852
495,19.3,6.207382053330452,22.280035906613794
496,19.2,6.207784873074067,22.284523777725205
497,19.0,6.197258460087078,22.167543842293398
498,19.1,6.219396615153989,22.41428116179504
499,19.3,6.2029402935545095,22.230609528305784
500,20.1,6.206979071257701,22.27554713132766
501,20.0,6.22098770538623,22.432119828495924
502,19.5,6.23166185298802,22.552161758909055
503,18.5,6.223369604090764,22.45885126180767
504,18.4,6.237152062857086,22.614154859291116
505,19.3,6.199697485686437,22.19459393636207
506,19.3,6.219396615153989,22.41428116179504
507,20.5,6.24105526843704,22.658331800907145
508,19.6,6.20979654142497,22.3069495897579
509,19.7,6.234802805707711,22.58760722166029
510,19.0,6.218201633932322,22.400892839349062
511,19.4,6.226536669287466,22.494443758403985
512,19.1,6.253059284796445,22.794736234490628
513,19.3,6.243389899847644,22.684796670898333
514,19.5,6.235978124158384,22.60088493842664
515,19.7,6.253828811575473,22.80350850198276
516,19.1,6.232840866683252,22.565460332109335
517,19.3,6.25344412220739,22.799122790142604
518,18.7,6.253828811575473,22.80350850198276
519,20.0,6.254213353014551,22.807893370497855
520,19.2,6.258433577962221,22.856071403458643
521,20.0,6.227721737567575,22.507776433935007
522,20.1,6.245719093447244,22.711230702011726
523,20.0,6.261109932073611,22.88667734731278
524,18.9,6.266061380011108,22.94340863951998
525,19.7,6.270610288537476,22.995651762887697
526,20.8,6.251903883165888,22.781571499789035
527,20.1,6.26530121273771,22.93468988235943
528,19.3,6.248816269751929,22.74642829105264
529,18.9,6.274008441703639,23.034756347745464
530,20.2,6.274762021241939,23.043437243605826
531,19.6,6.286742696181391,23.1818894829563
532,19.2,6.271366432240801,23.004347415216976
533,20.0,6.282640508814019,23.13438998547401
534,19.8,6.272122004622799,23.01303978182804
535,19.9,6.299316826349146,23.32809465001375
536,20.3,6.296372400224832,23.293775992741065
537,19.4,6.28711478920894,23.186202793903103
538,20.5,6.289344444536209,23.212065827926647
539,18.9,6.292309606086044,23.246505113672463
540,20.1,6.286370464649083,23.177575369309018
541,19.5,6.290828124333601,23.22929185317538
542,19.7,6.2656813686061925,22.939049675171812
543,19.9,6.281892845227788,23.125743231299616
544,18.9,6.304083104849794,23.383755044902433
545,20.8,6.298949246855942,23.323807579381203
546,20.4,6.296740927960714,23.29806858947754
547,19.8,6.3157195997906035,23.52020408074726
548,19.4,6.30335130825658,23.375200533899168
549,19.7,6.284507225801859,23.15599274485981
550,19.4,6.308462673893816,23.435016535091243
551,20.6,6.297845696992248,23.310941636922347
552,20.0,6.307734076411675,23.426480742954116
553,19.2,6.3059102568289775,23.40512764331782
554,19.2,6.300418754835302,23.340951137432253
555,19.7,6.311008592708507,23.46486735526114
556,19.3,6.317164686747284,23.53720459187964
557,20.4,6.3265071909196005,23.647410006171924
558,19.7,6.316081067352825,23.524455360326623
559,20.9,6.3240004751933885,23.61778990506944
560,19.7,6.3428253962229455,23.84114091229696
561,20.1,6.333989855442272,23.736048533822977
562,19.8,6.3498380476822955,23.924882444852262
563,20.3,6.322565239927284,23.600847442411894
564,20.5,6.322924241905651,23.605084198112916
565,20.0,6.346337869100086,23.883048381645086
566,20.0,6.330433663927782,23.69388106663828
567,19.8,6.336825731146441,23.769728648009426
568,20.7,6.32686478076786,23.651638421048126
569,19.7,6.343528878489031,23.849528297222147
570,20.7,6.3578422665081,24.020824298928627
571,20.2,6.3473892096560105,23.895606290697042
572,20.3,6.356454822650428,24.004166305039632
573,20.0,6.334344780024526,23.740261161158273
574,20.2,6.344934360097766,23.866294224282075
575,20.5,6.359227788032134,24.037470748812154
576,20.1,6.3336348048438325,23.731835158706122
577,20.5,6.338594078203183,23.790754506740637
578,20.3,6.35088571671474,23.93741840717165
579,19.3,6.348789279888211,23.912339910598458
580,19.2,6.364406463510586,24.099792530227308
581,20.3,6.356454822650428,24.004166305039632
582,19.8,6.364750756851911,24.1039415863879
583,20.7,6.352280903547264,23.954122818421048
584,19.4,6.377406988727283,24.256957764732164
585,19.9,6.364406463510586,24.099792530227308
586,20.5,6.37024338995364,24.170229622409465
587,19.8,6.383844415667491,24.335159748807897
588,19.6,6.359919829582246,24.045789652244736
589,19.4,6.3818160174060985,24.310491562286437
590,19.8,6.365438988124776,24.112237556892143
591,19.6,6.3784261836515865,24.269322199023193
592,20.7,6.385194398997726,24.351591323771842
593,20.0,6.372978434393633,24.203305559365234
594,19.9,6.394259426660267,24.462215762273047
595,21.1,6.402248816693747,24.560130292814
596,20.9,6.39959277263563,24.52753554680943
597,20.2,6.39024066706535,24.413111231467404
598,20.2,6.414114479970247,24.706274506691614
599,19.8,6.405558981914201,24.60081299469593
600,19.9,6.413131034554154,24.69412885687608
601,20.0,6.388225214586,24.38852189043034
602,20.2,6.390911582890583,24.42130217658346
603,19.4,6.39024066706535,24.413111231467404
604,20.6,6.409516770721618,24.649543606322613
605,20.2,6.416732282512326,24.73863375370596
606,20.4,6.404567082345357,24.588615251778617
607,20.5,6.400589616047633,24.539763650043575
608,21.0,6.412474866551609,24.686028437154487
609,20.0,6.411161237462871,24.669819618310953
610,21.2,6.416405431716803,24.73459116298468
611,20.9,6.416078474054907,24.73054791143941
612,20.6,6.424869023905388,24.839484696748443
613,19.9,6.419669142185636,24.774987386475093
614,19.9,6.414442080300778,24.71032172999777
615,20.6,6.427782118698911,24.875690945177784
616,20.4,6.419994928147142,24.779023386727733
617,20.9,6.427135497273212,24.867649667791284
618,20.6,6.416405431716803,24.73459116298468
619,20.7,6.428105272684596,24.879710609249457
620,21.1,6.438071598547322,25.00399968005119
621,20.7,6.444766984630307,25.087845662790578
622,20.0,6.412474866551609,24.686028437154487
623,20.1,6.432618497624653,24.935917869611295
624,19.9,6.443813241114997,25.075884829851965
625,20.5,6.432296799053438,24.931907267595875
626,21.5,6.431331081933479,24.919871588754223
627,20.4,6.461468176353717,25.298221281347036
628,21.3,6.455198563340122,25.219040425836983
629,20.8,6.454254721835416,25.207141845120006
630,21.0,6.455512979315044,25.223005372080465
631,21.2,6.45110213410454,25.167439281738616
632,20.3,6.439350371100098,25.019992006393608
633,20.5,6.454254721835416,25.207141845120006
634,21.2,6.457397401983236,25.24678197315452
635,20.7,6.4434951243634675,25.071896617527763
636,20.3,6.445084697103193,25.09183134009951
637,20.8,6.468009236897099,25.381095327034252
638,20.1,6.449522105335317,25.147564494399848
639,21.0,6.454569434662561,25.211108662651075
640,21.0,6.463341420735398,25.321927256826246
