Size(N),Experiment Height(h),Log of Size,Sqrt of Size
237,15.1,5.453610250954072,15.28397853963424
238,14.3,5.44673737166631,15.231546211727817
239,14.5,5.474788509663815,15.446682491719702
240,14.6,5.471429984256681,15.42076522096099
241,14.2,5.474788509663815,15.446682491719702
242,15.3,5.479805242593414,15.485477067239485
243,14.8,5.478970866241294,15.479018056711478
244,14.6,5.4988062272974405,15.633297796690243
245,14.8,5.4823042026610525,15.504837954651444
246,13.9,5.480638923341991,15.491933384829668
247,14.5,5.49141399650995,15.57562197795003
248,14.7,5.527840524826286,15.861904047118681
249,14.4,5.499624223253072,15.639693091617879
250,14.4,5.5310151306670585,15.8871016865884
251,15.7,5.5302224235308195,15.880806024884253
252,15.0,5.515845179076611,15.767054258801801
253,15.0,5.526249434594043,15.84929020492716
254,15.1,5.519058033245936,15.792403236999744
255,15.0,5.536546555280287,15.931101656822104
256,15.4,5.540478923698008,15.962455951387932
257,14.3,5.556055562626746,16.087262041752165
258,14.5,5.519058033245936,15.792403236999744
259,15.1,5.573673789309181,16.229602582934678
260,15.8,5.546738725046515,16.012495120998476
261,15.3,5.559141984829935,16.112107248898266
262,15.9,5.5706319618686955,16.20493751916372
263,15.2,5.5706319618686955,16.20493751916372
264,15.0,5.562218910334414,16.136914203155445
265,15.0,5.58799744166249,16.34625339336204
